level,region,obstacle,visibility,streettype,feedback
2,r2,empty,low,oneway,yes
1,r1,empty,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r1,light,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,light,high,oneway,yes
2,r1,busy,high,twoway,no
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
1,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,busy,high,twoway,no
2,r1,empty,high,twoway,yes
2,r1,empty,low,twoway,yes
2,r1,busy,high,twoway,no
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,no
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,empty,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,light,high,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
1,r2,empty,high,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
1,r1,empty,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,light,high,oneway,yes
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
1,r2,empty,high,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,busy,high,twoway,no
2,r1,busy,low,twoway,no
2,r1,empty,low,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,no
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,light,high,oneway,yes
2,r1,empty,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,light,high,oneway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,high,oneway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,no
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,light,high,oneway,yes
2,r2,busy,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
1,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,light,high,twoway,yes
1,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
1,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,busy,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,light,low,oneway,no
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r2,light,low,oneway,no
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,empty,low,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,high,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,high,oneway,yes
2,r1,light,high,twoway,yes
2,r2,busy,low,oneway,no
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,empty,high,twoway,yes
2,r2,empty,low,oneway,yes
1,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,high,oneway,yes
2,r2,light,high,oneway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
2,r1,light,high,twoway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r1,light,low,twoway,yes
2,r1,light,high,twoway,yes
2,r2,light,low,oneway,no
2,r2,empty,low,oneway,yes
2,r2,empty,low,oneway,yes
2,r1,light,high,twoway,yes
2,r2,empty,low,oneway,yes
2,r2,empty,high,oneway,yes
1,r2,busy,low,oneway,no
2,r2,busy,low,oneway,no
2,r2,empty,low,oneway,yes
